PurchaseKey,DateKey,StrategyKey,AssetKey,InvestmentAmount,PurchasePrice,UnitsPurchased
235,20250904,3,9,60,3687.763671875,0.016270023065088037
236,20250904,3,10,30,173.7703094482422,0.17264169060443296
237,20251006,3,8,10,106538.1640625,9.386307796831901e-05
238,20251006,3,9,60,4003.338134765625,0.014987492432615287
239,20251006,3,10,30,198.56776428222656,0.15108192464392492
240,20251104,3,8,10,88446.3359375,0.00011306290864402152
241,20251104,3,9,60,2866.568115234375,0.020930952130922695
242,20251104,3,10,30,135.29649353027344,0.22173523656980298
243,20251204,3,8,10,79136.6640625,0.00012636367881393472
244,20251204,3,9,60,2691.935791015625,0.022288793142931147
245,20251204,3,10,30,119.39388275146484,0.25126915473926936
246,20260105,3,8,10,80141.1484375,0.0001247798439998491
247,20260105,3,9,60,2753.927978515625,0.021787062141087717
248,20260105,3,10,30,117.79266357421875,0.2546847918172562
249,20260204,3,8,10,61872.94921875,0.0001616215183899719
250,20260204,3,9,60,1816.28955078125,0.03303438043465696
251,20260204,3,10,30,77.98066711425781,0.38471073806080414
252,20260304,3,8,10,62493.14453125,0.0001600175519252268
253,20260304,3,9,60,1827.6845703125,0.032828421804612117
254,20260304,3,10,30,78.07005310058594,0.38427026508292256
255,20260406,3,8,10,59668.76171875,0.00016759188077565974
256,20260406,3,9,60,1826.4281005859375,0.032851005731214585
257,20260406,3,10,30,69.4533462524414,0.43194463073037964
258,20260504,3,8,10,68277.125,0.00014646193728866
259,20260504,3,9,60,2006.8826904296875,0.029897113710793722
260,20260504,3,10,30,71.92239379882812,0.41711626122890266
261,20250505,4,11,100,95.78199768066406,1.0440375271081597
262,20250505,5,12,100,193.86000061035156,0.5158361688082048
263,20250505,6,13,100,531.9400024414062,0.18799112595600498
264,20250604,4,11,100,100.08999633789062,0.9991008458269215
265,20250604,5,12,100,201.1999969482422,0.4970179001827945
266,20250604,6,13,100,557.7999877929688,0.17927572999000438
267,20250704,4,11,100,100.55999755859375,0.9944312095048784
268,20250704,5,12,100,197.1999969482422,0.5070993993283193
269,20250704,6,13,100,565.0599975585938,0.1769723576824787
270,20250804,4,11,100,103.0199966430664,0.9706853354545352
271,20250804,5,12,100,196.8800048828125,0.5079235956923218
272,20250804,6,13,100,582.2000122070312,0.1717622774017391
273,20250904,4,11,100,105.25,0.9501187648456056
274,20250904,5,12,100,196.89999389648438,0.5078720319949461
275,20250904,6,13,100,593.8400268554688,0.16839551979937253
276,20251006,4,11,100,109.23999786376953,0.9154156165831081
277,20251006,5,12,100,201.9499969482422,0.49517207977789185
278,20251006,6,13,100,615.280029296875,0.16252762195821183
279,20251104,4,11,100,111.54000091552734,0.8965393507189682
280,20251104,5,12,100,198.39999389648438,0.5040322735704076
281,20251104,6,13,100,632.97998046875,0.15798287953111176
282,20251204,4,11,100,111.33999633789062,0.8981498409297912
283,20251204,5,12,100,197.8000030517578,0.5055611651018694
284,20251204,6,13,100,628.9199829101562,0.15900273916767152
285,20260105,4,11,100,112.74500274658203,0.8869572713991671
286,20260105,5,12,100,205.85000610351562,0.4857906098371116
287,20260105,6,13,100,632.1599731445312,0.1581878072769674
288,20260204,4,11,100,112.69999694824219,0.8873114703448066
289,20260204,5,12,100,203.85000610351562,0.4905567672596473
290,20260204,6,13,100,626.6400146484375,0.15958125504657214
291,20260304,4,11,100,113.8499984741211,0.8783487162077627
292,20260304,5,12,100,200.25,0.4993757802746567
293,20260304,6,13,100,633.4400024414062,0.15786814791389828
294,20260407,4,11,100,109.7249984741211,0.9113693450958238
295,20260407,5,12,100,189.5800018310547,0.5274817967831626
296,20260407,6,13,100,608.6599731445312,0.16429534454741315
297,20260504,4,11,100,117.4000015258789,0.8517887453174917
298,20260504,5,12,100,198.1199951171875,0.5047446116725889
299,20260504,6,13,100,661.4400024414062,0.1511852921366946
300,20250505,7,6,100,56.900001525878906,1.7574691971584329
301,20250604,7,6,100,57.35499954223633,1.7435271693509442
302,20250704,7,6,100,54.94499969482422,1.8200018301104828
303,20250804,7,6,100,56.665000915527344,1.7647577584808263
304,20250904,7,6,100,59.150001525878906,1.6906170316200022
305,20251006,7,6,100,65.53500366210938,1.5259021044019165
306,20251104,7,6,100,67.12000274658203,1.48986883057141
307,20251204,7,6,100,70.19000244140625,1.4247043242871913
308,20260105,7,6,100,73.62999725341797,1.3581421123217265
309,20260204,7,6,100,80.97000122070312,1.235025299399787
310,20260304,7,6,100,85.9800033569336,1.1630611316082928
311,20260407,7,6,100,77.95999908447266,1.282709096643859
312,20260504,7,6,100,75.22000122070312,1.3294336396856714
